event_id,date,title,type,actors,places,links,notes
E001,1924,H.H. 16th Karmapa born,biographical,"16th Karmapa","Tibet",https://en.wikipedia.org/wiki/Rangjung_Rigpe_Dorje,"Birth year (CE)."
E002,1959,16th Karmapa leaves Tibet,relocation,"16th Karmapa","Sikkim (India)",https://en.wikipedia.org/wiki/Rumtek_Monastery,"Leaves Tibet after 1959 upheaval; exile seat develops in Sikkim."
E003,1966,Rumtek rebuilt/inaugurated,institution,"16th Karmapa","Rumtek, Sikkim (India)",https://en.wikipedia.org/wiki/Rumtek_Monastery,"Rumtek becomes primary Karma Kagyu seat in exile."
E004,1974,First major Western tour of 16th Karmapa,teaching,"16th Karmapa","Europe/USA/Canada",https://kagyuoffice.org/karmapa/16th-karmapa/,"Tours widely credited with establishing Western Kagyu centers."
E005,1974,Meeting with Pope Paul VI,interfaith,"16th Karmapa","Rome (Italy)",https://kagyuoffice.org/karmapa/16th-karmapa/,"Interfaith milestone during Europe tour."
E006,1979-11,Foundation stone laid for KIBI,institution,"16th Karmapa","New Delhi (India)",https://kagyuoffice.org/karmapa/16th-karmapa/,"Karmapa International Buddhist Institute established for higher studies."
E007,1981,16th Karmapa passes away,biographical,"16th Karmapa","-",https://en.wikipedia.org/wiki/Rangjung_Rigpe_Dorje,"Parinirvana year (CE)."
E008,1981,Regency begins under senior disciples,governance,"Shamarpa; Tai Situ; Gyaltsab; Jamgon Kongtrul","Rumtek/Sikkim",https://en.wikipedia.org/wiki/Controversy_surrounding_the_17th_Karmapa,"Regency period frames later recognition dispute."
E009,1992-06-30,Recognition of Ogyen Trinley Dorje,recognition,"14th Dalai Lama -> Ogyen Trinley Dorje","-",https://www.dalailama.com/messages/biography-recognition-of-the-17th-karmapa,"Public confirmation statement (CE date)."
E010,1992-09-27,Enthronement at Tsurphu,enthronement,"Ogyen Trinley Dorje","Tsurphu (Tibet)",https://en.wikipedia.org/wiki/Ogyen_Trinley_Dorje,"Enthroned as 17th Karmapa at traditional seat."
E011,1994-03,Recognition/presentation of Trinley Thaye Dorje,recognition,"14th Shamarpa -> Trinley Thaye Dorje","New Delhi (India)",https://en.wikipedia.org/wiki/Trinley_Thaye_Dorje,"Shamarpa-led recognition track (month/year commonly cited)."
E012,1996-12,Enthronement at Bodh Gaya,enthronement,"Trinley Thaye Dorje","Bodh Gaya (India)",https://en.wikipedia.org/wiki/Trinley_Thaye_Dorje,"Formal enthronement in India."
E013,1999-12-28,Escape from Tibet (start),relocation,"Ogyen Trinley Dorje","Tibet -> India",https://en.wikipedia.org/wiki/Ogyen_Trinley_Dorje,"Departure date frequently reported."
E014,2000-01-05,Arrival in Dharamsala (end of escape),relocation,"Ogyen Trinley Dorje","Dharamsala (India)",https://en.wikipedia.org/wiki/Ogyen_Trinley_Dorje,"Arrival date frequently reported."
E015,2003-08-26,Sikkim High Court decision re: Rumtek dispute,legal,"Rumtek stakeholders","Sikkim (India)",https://kagyuoffice.org/the-supreme-court-of-india-ruling-july-5-2004/,"Key legal milestone in Rumtek institutional control axis."
E016,2004-07-05,India Supreme Court affirms earlier order,legal,"Rumtek stakeholders","India",https://kagyuoffice.org/the-supreme-court-of-india-ruling-july-5-2004/,"Supreme Court decision referenced by Kagyu Office."
E017,2014-06-11,14th Shamarpa passes away,biographical,"14th Shamarpa","Germany",https://en.wikipedia.org/wiki/Shamarpa,"Parinirvana year/day (CE)."
E018,2018-10-11,Joint statement after meeting in France,joint_statement,"Ogyen Trinley Dorje + Trinley Thaye Dorje","France",https://kagyuoffice.org/the-karmapas-joint-statement/, "Signals reconciliation / shared intent to preserve lineage."
E019,2023-12-04,Joint statement on Shamarpa reincarnation cooperation,joint_statement,"Ogyen Trinley Dorje + Trinley Thaye Dorje","-",https://kagyuoffice.org/the-karmapas-joint-statement-on-the-recognition-of-the-15th-shamarpa/,"Commitment to collaborate on recognition/training process."
